eta,sparse,r,b_d,f,policy,tps,gain,bound,b_eff,tpot_opt,tpot_cons,gpu_nonattn,gpu_attn,cpu_attn,c2c_decode,append_total,append_oldkv,append_flush,hbm_used_gb,hbm_fits,c2c_util,decode_batch_cap
0.3,0.1,1.0,128,1.0,full_cpu_attn,32.98003700337512,2.231512395752256,tpot_balanced,128,3.881135730287407,3.881135730287407,0.058333333333333334,0.0,3.8212346402133335,0.0015627567407407407,1.0911750743897126,0.15616500622222224,0.009687191703703704,167.524726784,True,0.0004023386534499706,inf
0.3,0.1,1.0,256,0.0,gpu_hot,14.779230922558847,1.0,hbm_capacity,1,0.06766251946666667,0.06766251946666667,0.058333333333333334,0.009329186133333334,0.0,0.0,1.0814878826860088,0.15616500622222224,0.0,189.914773504,True,0.004306099785236107,1.725485610063077
0.3,0.1,1.0,256,0.05,partial_cpu_attn,14.880717619916785,1.0068668456355891,hbm_capacity,1,0.06720106016,0.06902343897837038,0.058333333333333334,0.008862726826666667,0.0014926697813333334,0.00032970903703703704,1.0911750743897126,0.15616500622222224,0.009687191703703704,188.795271168,True,0.004746915482359096,1.81630064217166
0.3,0.1,1.0,256,0.1,partial_cpu_attn,14.984730367950508,1.0139046102242024,hbm_capacity,1,0.06673460085333334,0.07004964945303704,0.058333333333333334,0.00839626752,0.0029853395626666668,0.00032970903703703704,1.0911750743897126,0.15616500622222224,0.009687191703703704,187.675768832,True,0.004779114595440602,1.917206233403419
0.3,0.1,1.0,256,0.2,partial_cpu_attn,27.29815259337392,1.8470617812532002,hbm_capacity,2,0.07326503114666667,0.08554580747140741,0.058333333333333334,0.014926697813333334,0.011941358250666667,0.00033941807407407405,1.0911750743897126,0.15616500622222224,0.009687191703703704,203.348801536,True,0.004497150715919718,2.1568570125788464
0.3,0.1,1.0,256,0.3,partial_cpu_attn,26.113141605024044,1.7668809521857627,hbm_capacity,2,0.07658978878340741,0.08965064937007408,0.058333333333333334,0.013060860586666665,0.017912037376000004,0.00033941807407407405,1.0911750743897126,0.15616500622222224,0.009687191703703704,198.870792192,True,0.004306828931426397,2.4649794429472536
0.3,0.1,1.0,256,0.5,partial_cpu_attn,28.994596734648685,1.9618474659863165,hbm_capacity,3,0.10346755388444445,0.11746133308444445,0.058333333333333334,0.0139937792,0.04478009344,0.00034912711111111105,1.0911750743897126,0.15616500622222224,0.009687191703703704,201.109796864,True,0.003302810342008994,3.450971220126154
0.3,0.1,1.0,256,1.0,full_cpu_attn,33.23115994684805,2.24850400680352,tpot_balanced,256,7.703613127241482,7.703613127241482,0.058333333333333334,0.0,7.642469280426667,0.0028055134814814814,1.0911750743897126,0.15616500622222224,0.009687191703703704,167.524726784,True,0.00036403348848812765,inf
0.5,1.0,0.25,8,0.0,gpu_hot,43.294706973387704,1.0,hbm_capacity,2,0.046195023360000004,0.046195023360000004,0.035,0.01119502336,0.0,0.0,0.5786184768116053,0.023424750933333332,0.0,196.493113344,True,0.0009522244622926971,2.4316791735573475
0.5,1.0,0.25,8,0.05,partial_cpu_attn,37.55961070290018,0.86753354690649,hbm_capacity,2,0.05324868822044445,0.06388396041244446,0.035,0.010635272192,0.017912037376,0.0003316508444444444,0.5844307918338275,0.023424750933333332,0.0058123150222222225,194.254108672,True,0.00125287167567009,2.5596622879551028
0.5,1.0,0.25,8,0.1,partial_cpu_attn,28.1053907648734,0.6491645914626275,hbm_capacity,2,0.07116072559644446,0.08123624662044446,0.035,0.010075521024,0.035824074752,0.0003316508444444444,0.5844307918338275,0.023424750933333332,0.0058123150222222225,192.015104,True,0.0009415553851865401,2.701865748397053
0.5,1.0,0.25,8,0.2,partial_cpu_attn,21.006240877309814,0.4851918940165569,hbm_capacity,3,0.14281470052266668,0.1562487285546667,0.035,0.013434028032000002,0.10747222425600002,0.00033747626666666663,0.5844307918338275,0.023424750933333332,0.0058123150222222225,205.449132032,True,0.0005129890316560146,3.0395989669466843
0.5,1.0,0.25,8,0.3,partial_cpu_attn,15.263228676301402,0.3525426026253826,hbm_capacity,3,0.19655081265066668,0.20830558717866668,0.035,0.011754774527999999,0.161208336384,0.00033747626666666663,0.5844307918338275,0.023424750933333332,0.0058123150222222225,198.732118016,True,0.0003733473152776467,3.4738273907962114
0.5,1.0,0.25,8,0.5,partial_cpu_attn,10.162884379125819,0.23473734064934815,hbm_capacity,4,0.3935890492088889,0.40478407256888893,0.035,0.01119502336,0.35824074752,0.00034330168888888887,0.5844307918338275,0.023424750933333332,0.0058123150222222225,196.493113344,True,0.00020164870059852287,4.863358347114695
0.5,1.0,0.25,8,1.0,full_cpu_attn,5.448349467242897,0.1258433154563646,tpot_balanced,8,1.4683345934577778,1.4683345934577778,0.035,0.0,1.43296299008,0.00036660337777777777,0.5844307918338275,0.023424750933333332,0.0058123150222222225,151.713019904,True,7.000141634361258e-05,inf
0.5,1.0,0.25,16,0.0,gpu_hot,43.294706973387704,1.0,hbm_capacity,2,0.046195023360000004,0.046195023360000004,0.035,0.01119502336,0.0,0.0,0.5786184768116053,0.023424750933333332,0.0,196.493113344,True,0.0009522244622926971,2.4316791735573475
0.5,1.0,0.25,16,0.05,partial_cpu_attn,37.55961070290018,0.86753354690649,hbm_capacity,2,0.05324868822044445,0.06388396041244446,0.035,0.010635272192,0.017912037376,0.0003316508444444444,0.5844307918338275,0.023424750933333332,0.0058123150222222225,194.254108672,True,0.00125287167567009,2.5596622879551028
0.5,1.0,0.25,16,0.1,partial_cpu_attn,28.1053907648734,0.6491645914626275,hbm_capacity,2,0.07116072559644446,0.08123624662044446,0.035,0.010075521024,0.035824074752,0.0003316508444444444,0.5844307918338275,0.023424750933333332,0.0058123150222222225,192.015104,True,0.0009415553851865401,2.701865748397053
0.5,1.0,0.25,16,0.2,partial_cpu_attn,21.006240877309814,0.4851918940165569,hbm_capacity,3,0.14281470052266668,0.1562487285546667,0.035,0.013434028032000002,0.10747222425600002,0.00033747626666666663,0.5844307918338275,0.023424750933333332,0.0058123150222222225,205.449132032,True,0.0005129890316560146,3.0395989669466843
0.5,1.0,0.25,16,0.3,partial_cpu_attn,15.263228676301402,0.3525426026253826,hbm_capacity,3,0.19655081265066668,0.20830558717866668,0.035,0.011754774527999999,0.161208336384,0.00033747626666666663,0.5844307918338275,0.023424750933333332,0.0058123150222222225,198.732118016,True,0.0003733473152776467,3.4738273907962114
0.5,1.0,0.25,16,0.5,partial_cpu_attn,10.162884379125819,0.23473734064934815,hbm_capacity,4,0.3935890492088889,0.40478407256888893,0.035,0.01119502336,0.35824074752,0.00034330168888888887,0.5844307918338275,0.023424750933333332,0.0058123150222222225,196.493113344,True,0.00020164870059852287,4.863358347114695
